timestamp,level,module,method,line,component,event_type,action,duration_ms,parent_event_id,agent,system,metadata
2026-04-27T18:36:22.314,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 20/25 (pages 951-1000 of 1232)""}"
2026-04-27T18:38:22.180,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 20/25 complete""}"
2026-04-27T18:38:22.181,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 21/25 (pages 1001-1050 of 1232)""}"
2026-04-27T18:40:23.011,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 21/25 complete""}"
2026-04-27T18:40:23.013,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 22/25 (pages 1051-1100 of 1232)""}"
2026-04-27T18:42:23.912,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 22/25 complete""}"
2026-04-27T18:42:23.913,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 23/25 (pages 1101-1150 of 1232)""}"
2026-04-27T18:44:25.086,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 23/25 complete""}"
2026-04-27T18:44:25.087,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 24/25 (pages 1151-1200 of 1232)""}"
2026-04-27T18:46:21.546,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 24/25 complete""}"
2026-04-27T18:46:21.547,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 25/25 (pages 1201-1232 of 1232)""}"
2026-04-27T18:48:07.405,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 25/25 complete""}"
2026-04-27T18:48:07.405,INFO,document_converter,_translate_chunked,186,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Processing 25 chunks for merge""}"
2026-04-27T18:48:07.767,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 1: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:08.190,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 2: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:08.605,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 3: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:09.021,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 4: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:09.377,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 5: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:09.627,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 6: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:09.958,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 7: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:10.299,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 8: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:10.635,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 9: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:10.885,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 10: 1232 pages (full PDF), extracted 50""}"
2026-04-27T18:48:11.219,INFO,document_converter,_translate_chunked,210,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 11: 1232 pages (full PDF), extracted 50""}"
